type,delta1980,delta1990,delta2000,delta2010,delta2015
女性・全体,.26475331,.24807335,.26200706,.25732777,.25232843
女性15-29歳,.26382867,.2386481,.24779622,.23838367,.23782073
女性30-44歳,.27585319,.26107559,.27523783,.26739436,.26037225
女性45-59歳,.28646329,.27521589,.29303122,.28011158,.26680377
女性60歳以上,.27121729,.2695646,.28877565,.29337227,.29072985
女性・未婚,.23246722,.21560232,.22848164,.22438394,.22385912
女性・既婚,.29716939,.2743181,.28578869,.27580622,.26755011
女性・既婚・子ども（0-15歳）同居なし,.29309002,.26545301,.27525863,.26468244,.2591562
女性・既婚・子ども（0-5歳）同居あり,.31952825,.30411044,.31803668,.30562007,.29388449
女性・既婚・子ども（6-15歳）同居あり,.27859008,.25001517,.26326391,.2488932,.23628545
女性・未婚・高卒以下,.23792338,.22709523,.2468217,.25217083,
女性・既婚・高卒以下,.29910293,.27952,.29710695,.29333711,
女性・未婚・大卒以上,.20618474,.17415749,.18671642,.18689221,
女性・既婚・大卒以上,.26752919,.24442925,.24020475,.23281808,
