type,delta1980,delta1990,delta2000,delta2010,delta2015
男性・全体,.22805293,.20323427,.22050847,.22032666,.2171302
男性15-29歳,.21200164,.18271357,.20926709,.20590246,.20507275
男性30-44歳,.24102257,.22369851,.23451042,.23782508,.23624839
男性45-59歳,.23980843,.20565431,.2132185,.1990815,.19137491
男性60歳以上,.25225833,.24214184,.25096378,.2443171,.23972888
男性・未婚,.18539888,.16260003,.18117958,.18570487,.18660925
男性・既婚,.25131956,.2314502,.24863786,.24457557,.24184681
男性・既婚・子ども（0-15歳）同居なし,.24541093,.21175665,.2295258,.22176938,.22009753
男性・既婚・子ども（0-5歳）同居あり,.26159164,.24979298,.26778278,.26817659,.26541355
男性・既婚・子ども（6-15歳）同居あり,.23792543,.21415751,.23019411,.217842,.21426772
男性・未婚・高卒以下,.20698738,.19316058,.21295929,.22193551,
男性・既婚・高卒以下,.26977876,.25596258,.28142792,.28123868,
男性・未婚・大卒以上,.14746313,.12450301,.14453068,.15274405,
男性・既婚・大卒以上,.20581333,.19106589,.19715326,.19813661,
