type,delta1980,delta1990,delta2000,delta2010,delta2015
女性・全体,.31167337,.26884845,.27032486,.25328186,.24356399
女性15-29歳,.29347864,.24920328,.23986709,.21059459,.20052075
女性30-44歳,.3340199,.28213742,.28126329,.26760748,.25677308
女性45-59歳,.34563613,.33145079,.35678792,.31596404,.30052823
女性60歳以上,.31281081,.30104265,.36387578,.35343131,.35774371
女性・未婚,.29619479,.25228438,.24866842,.23525566,.22502863
女性・既婚,.31914499,.26808891,.26795217,.25011003,.24399267
女性・既婚・子ども（0-15歳）同居なし,.29840419,.25300694,.25054067,.24089237,.23881924
女性・既婚・子ども（0-5歳）同居あり,.32923326,.28620496,.29467943,.26205346,.25395811
女性・既婚・子ども（6-15歳）同居あり,.35495234,.29419443,.31515172,.28900459,.25899634
女性・未婚・高卒以下,.29742596,.26063284,.27099413,.2672711,
女性・既婚・高卒以下,.32457361,.28199381,.29361007,.27267167,
女性・未婚・大卒以上,.26617074,.20236062,.21048583,.20947467,
女性・既婚・大卒以上,.28508008,.22101527,.23533338,.23823468,
