type,delta1980,delta1990,delta2000,delta2010,delta2015
女性・全体,.35650924,.32011086,.30902782,.28905001,.27552676
女性15-29歳,.31699213,.28067845,.26864836,.239448,.22978629
女性30-44歳,.37689781,.32657483,.29769275,.28072989,.26515055
女性45-59歳,.41762999,.41224298,.42630532,.39441705,.36100629
女性60歳以上,.38852629,.38599858,.41197512,.41269818,.40323052
女性・未婚,.32562548,.29887858,.28400144,.26518258,.2523284
女性・既婚,.36461273,.31187883,.29228607,.27356762,.26074183
女性・既婚・子ども（0-15歳）同居なし,.33365265,.27673718,.27075472,.25060007,.24109368
女性・既婚・子ども（0-5歳）同居あり,.36938652,.33018482,.31260714,.29952589,.28418559
女性・既婚・子ども（6-15歳）同居あり,.42408872,.38666153,.36835751,.3434225,.30637667
女性・未婚・高卒以下,.33214784,.31942683,.31273255,.30622321,
女性・既婚・高卒以下,.380182,.3440738,.33649254,.32763886,
女性・未婚・大卒以上,.27473235,.21889772,.21323581,.21363713,
女性・既婚・大卒以上,.28753138,.23472668,.23517275,.23077981,
