type,delta1980,delta1990,delta2000,delta2010,delta2015
男性・全体,.32718614,.28670058,.28334782,.27589914,.26591188
男性15-29歳,.28311443,.23751085,.24657337,.22099175,.20200612
男性30-44歳,.33846605,.29336208,.27221152,.27213958,.26468953
男性45-59歳,.38108873,.37644401,.37066293,.32645449,.31358624
男性60歳以上,.38758588,.36407053,.39450297,.40921724,.39189729
男性・未婚,.2751151,.22974716,.23590346,.2361701,.22317946
男性・既婚,.33988488,.3009806,.28686211,.27288565,.26499021
男性・既婚・子ども（0-15歳）同居なし,.32300383,.27166146,.26667383,.25070003,.24724473
男性・既婚・子ども（0-5歳）同居あり,.33168724,.30427283,.29148999,.28245816,.27638239
男性・既婚・子ども（6-15歳）同居あり,.38733461,.35389626,.34817854,.32232833,.28261629
男性・未婚・高卒以下,.30983764,.2865729,.29562411,.3029426,
男性・既婚・高卒以下,.38641962,.36591455,.36472645,.35029826,
男性・未婚・大卒以上,.20724599,.15072475,.16738723,.18588449,
男性・既婚・大卒以上,.27864769,.25215754,.24244572,.24295849,
